7	18AKS007	重点项目	马列·科社	习近平新时代生态文明思想的逻辑体系及其时代价值研究	2018-06-21	李丽	正高级	江苏大学		江苏	高等院校、其他学校									
7	18AKS008	重点项目	马列·科社	新时代社会主要矛盾转化下我国创新型国家建设研究	2018-06-21	范旭	正高级	华南理工大学	985高校211高校	广东	高等院校、其他学校									
7	18AKS009	重点项目	马列·科社	中国特色社会主义进入新时代的规范性力量研究	2018-06-21	李梁	正高级	上海大学	211高校	上海	高等院校、其他学校									
7	18AKS010	重点项目	马列·科社	新发展理念的价值排序与中国实践研究	2018-06-21	张彦	正高级	浙江大学	985高校211高校	浙江	高等院校、其他学校									
7	18AKS011	重点项目	马列·科社	新时代文化创新的内在逻辑和实现路径研究	2018-06-21	张艳国	正高级	江西师范大学		江西	高等院校、其他学校									
7	18AKS012	重点项目	马列·科社	习近平新时代中国特色社会主义思想的问题意识研究	2018-06-21	关锋	正高级	华南师范大学	211高校	广东	高等院校、其他学校									
7	18AKS013	重点项目	马列·科社	习近平新时代中国特色社会主义思想的形成过程、核心内涵及其历史地位研究	2018-06-21	孙建华	正高级	南京林业大学		江苏	高等院校、其他学校									
7	18AKS014	重点项目	马列·科社	习近平新时代国家治理思想研究	2018-06-21	刘振江	正高级	河南科技大学		河南	高等院校、其他学校									
7	18AKS015	重点项目	马列·科社	网络社会治理体系研究	2018-06-21	代金平	正高级	重庆邮电大学		重庆	高等院校、其他学校									
8	18AKS016	重点项目	马列·科社	习近平新时代中国特色社会主义生态文明思想研究	2018-06-21	郇庆治	正高级	北京大学	985高校211高校	高校	高等院校、其他学校									
8	18AKS017	重点项目	马列·科社	习近平总书记青年人生发展思想系统研究	2018-06-21	石加友	正高级	重庆交通大学		重庆	高等院校、其他学校									
8	18AKS018	重点项目	马列·科社	价值论视阈下中华民族共同体意识研究	2018-06-21	陈智	正高级	内蒙古大学	211高校	内蒙	高等院校、其他学校									
8	18AKS019	重点项目	马列·科社	基于口述史的红旗渠精神生成逻辑与当代价值研究	2018-06-21	马福运	正高级	河南师范大学		河南	高等院校、其他学校									
8	18AKS020	重点项目	马列·科社	新时代背景下中华优秀传统文化的继承与创新研究	2018-06-21	王易	正高级	中国人民大学	985高校211高校	高校	高等院校、其他学校									
8	18AKS021	重点项目	马列·科社	新时代提升社会主义意识形态引领力研究	2018-06-21	葛彦东	正高级	常州大学		江苏	高等院校、其他学校									
8	18AKS022	重点项目	马列·科社	习近平高校思想政治工作思想研究	2018-06-21	康秀云	正高级	东北师范大学	211高校	吉林	高等院校、其他学校									
8	18AKS023	重点项目	马列·科社	新时代大学文化传承中坚持社会主义核心价值体系基本方略研究	2018-06-21	常艳芳	正高级	吉林大学	985高校211高校	吉林	高等院校、其他学校									
8	18AKS024	重点项目	马列·科社	习近平总书记全球治理与国际法治思想研究	2018-06-21	卫灵	正高级	中国政法大学	211高校	高校	高等院校、其他学校									
8	18AMZ001	重点项目	民族学	“历史交汇期”有效缩小民族地区多维发展差距的理论与对策研究	2018-06-21	郑长德	正高级	西南民族大学		四川	高等院校、其他学校									
8	18AMZ002	重点项目	民族学	改革开放四十年中国民族理论发展研究	2018-06-21	金炳镐	正高级	中央民族大学	985高校211高校	高校	高等院校、其他学校									
8	18AMZ003	重点项目	民族学	中国共产党民族政策的初心与使命研究	2018-06-21	哈正利	正高级	中南民族大学		湖北	高等院校、其他学校									
8	18AMZ004	重点项目	民族学	中华民族共同体意识的形成与发展研究	2018-06-21	王文光	正高级	云南大学	211高校	云南	高等院校、其他学校									
8	18AMZ005	重点项目	民族学	南北朝时期民族关系思想研究	2018-06-21	崔明德	正高级	烟台大学		山东	高等院校、其他学校									
8	18AMZ006	重点项目	民族学	卫拉特蒙古史学文献汉译注释及研究（19—20世纪）	2018-06-21	乌兰	正高级	西北民族大学		甘肃	高等院校、其他学校									
8	18AMZ007	重点项目	民族学	“一带一路”视野下的国外藏文文献研究	2018-06-21	更藏	正高级	青海民族大学		青海	高等院校、其他学校									
8	18AMZ008	重点项目	民族学	近四十年美国西藏政策研究	2018-06-21	励轩	副高级	四川大学	985高校211高校	四川	高等院校、其他学校									
8	18AMZ009	重点项目	民族学	近代日本亚细亚主义与东亚民族志研究	2018-06-21	孙春日	正高级	延边大学	211高校	吉林	高等院校、其他学校									
8	18AMZ010	重点项目	民族学	近代西方在中国西南边疆的知识谱系研究	2018-06-21	彭文斌	正高级	滇西科技师范学院		云南	高等院校、其他学校									
8	18AMZ011	重点项目	民族学	黔桂界邻地区少数民族石体资料搜集、整理与研究	2018-06-21	徐晓光	正高级	贵州师范大学		贵州	高等院校、其他学校									
9	18AMZ012	重点项目	民族学	集中连片特困民族地区乡村振兴战略研究	2018-06-21	陈灿平	正高级	西南民族大学		四川	高等院校、其他学校									
9	18AMZ013	重点项目	民族学	内蒙古双语教育70年实践与经验研究	2018-06-21	白红梅	正高级	内蒙古民族大学		内蒙	高等院校、其他学校									
9	18AMZ014	重点项目	民族学	偏远地区少数民族基础教育均衡发展的实证研究	2018-06-21	王世忠	正高级	中南民族大学		湖北	高等院校、其他学校									
9	18AMZ015	重点项目	民族学	西部乡村振兴中的教师教育供给制度研究	2018-06-21	王安全	正高级	宁夏大学	211高校	宁夏	高等院校、其他学校									
9	18AMZ016	重点项目	民族学	云南少数民族的传统知识与文化防灾研究	2018-06-21	李永祥	正高级	云南省社会科学院		云南	省、市社会科学院									
9	18ARK001	重点项目	人口学	精准健康扶贫对深度贫困地区人口发展的影响和政策促进研究	2018-06-21	韦艳	正高级	西安财经学院		陕西	高等院校、其他学校									
9	18ARK002	重点项目	人口学	大城市人口多元化进程中外来人口的社会隔离研究	2018-06-21	王红霞	正高级	上海社会科学院		上海	省、市社会科学院									
9	18ARK003	重点项目	人口学	中国妇女生育模式变动及其影响因素研究	2018-06-21	杨凡	副高级	中国人民大学	985高校211高校	高校	高等院校、其他学校									
9	18ASH001	重点项目	社会学	智慧社会发展趋势与治理创新研究	2018-06-21	宋林飞	正高级	常州大学		江苏	高等院校、其他学校									
9	18ASH002	重点项目	社会学	村庄治理现代化的区域差异研究	2018-06-21	贺雪峰	正高级	武汉大学	985高校211高校	湖北	高等院校、其他学校									
9	18ASH003	重点项目	社会学	“新生代”中国私营企业主的构成、态度与行动研究	2018-06-21	吕鹏	副高级	中国社会科学院		社科院	中国社会科学院									
9	18ASH004	重点项目	社会学	教育能否有助于破解农村学生社会流动的困境研究	2018-06-21	李荷	副高级	中国人民大学	985高校211高校	高校	高等院校、其他学校									
9	18ASH005	重点项目	社会学	乡村振兴战略实施中的地方政府行为研究	2018-06-21	狄金华	副高级	华中农业大学	211高校	湖北	高等院校、其他学校									
9	18ASH006	重点项目	社会学	西部地区精准脱贫与乡村振兴融合的路径设计与政策协同研究	2018-06-21	王志章	正高级	西南大学	211高校	重庆	高等院校、其他学校									
9	18ASH007	重点项目	社会学	互联网时代家政工人雇佣关系研究	2018-06-21	刘林平	正高级	南京大学	985高校211高校	江苏	高等院校、其他学校									
9	18ASH008	重点项目	社会学	当代西方文化认同理论新进展研究	2018-06-21	郑莉	正高级	哈尔滨工程大学	211高校	黑龙江	高等院校、其他学校									
